"name","module","type"
"C9","M1","host"
"C13","M1","host"
"C15","M1","host"
"C44","M1","host"
"Aeria_eurimedia","M1","symbiont"
"Aeria_olena","M1","symbiont"
"Dircenna_dero","M1","symbiont"
"Episcada_clausina","M1","symbiont"
"Episcada_doto","M1","symbiont"
"Episcada_hemixanthe","M1","symbiont"
"Episcada_hymen","M1","symbiont"
"Episcada_hymenaea","M1","symbiont"
"Episcada_philoclea","M1","symbiont"
"Episcada_striposis","M1","symbiont"
"Episcada_sulphurea","M1","symbiont"
"Epityches_eupompe","M1","symbiont"
"Godyris_zavaleta","M1","symbiont"
"Hyalyris_juninensis","M1","symbiont"
"Hyalyris_latilimbata","M1","symbiont"
"Hypoleria_xenophis","M1","symbiont"
"Ithomia_amarilla","M1","symbiont"
"Ithomia_salapia","M1","symbiont"
"Napeogenes_cranto","M1","symbiont"
"Napeogenes_inachia","M1","symbiont"
"Napeogenes_pharo","M1","symbiont"
"Napeogenes_rhezia","M1","symbiont"
"Oleria_zelica","M1","symbiont"
"Pteronymia_euritea","M1","symbiont"
"Pteronymia_picta","M1","symbiont"
"Pteronymia_primula","M1","symbiont"
"Pteronymia_sao","M1","symbiont"
"Pteronymia_tucuna","M1","symbiont"
"Pteronymia_vestilla","M1","symbiont"
"Scada_karschina","M1","symbiont"
"Scada_kusa","M1","symbiont"
"Scada_reckia","M1","symbiont"
"Scada_zibia","M1","symbiont"
"C5","M2","host"
"C7","M2","host"
"C17","M2","host"
"C31","M2","host"
"C39","M2","host"
"C41","M2","host"
"Episcada_apuleia","M2","symbiont"
"Genus1_nsp1","M2","symbiont"
"Godyris_crinippa","M2","symbiont"
"Godyris_hewitsoni","M2","symbiont"
"Godyris_panthyale","M2","symbiont"
"Godyris_sappho","M2","symbiont"
"Hyalenna_buckleyi","M2","symbiont"
"Hyalenna_paradoxa","M2","symbiont"
"Hyalenna_perasippa","M2","symbiont"
"Hypomenitis_enigma","M2","symbiont"
"Hypomenitis_esula","M2","symbiont"
"Hypomenitis_gardneri","M2","symbiont"
"Hypomenitis_hermana","M2","symbiont"
"Hypomenitis_lojana","M2","symbiont"
"Hypomenitis_lydia","M2","symbiont"
"Hypomenitis_nspB","M2","symbiont"
"Hypomenitis_nspD","M2","symbiont"
"Hypomenitis_oneidodes","M2","symbiont"
"Hypomenitis_ortygia","M2","symbiont"
"Hypomenitis_theudelinda","M2","symbiont"
"Hyposcada_taliata","M2","symbiont"
"Ithomia_avella","M2","symbiont"
"Ithomia_eleonora","M2","symbiont"
"Ithomia_ellara","M2","symbiont"
"Ithomia_praeithomia","M2","symbiont"
"Megoleria_orestilla","M2","symbiont"
"Megoleria_susiana","M2","symbiont"
"Napeogenes_harbona","M2","symbiont"
"Napeogenes_larilla","M2","symbiont"
"Oleria_athalina","M2","symbiont"
"Oleria_attalia","M2","symbiont"
"Oleria_baizana","M2","symbiont"
"Oleria_cyrene","M2","symbiont"
"Oleria_deronda","M2","symbiont"
"Oleria_derondina","M2","symbiont"
"Oleria_fasciata","M2","symbiont"
"Oleria_fumata","M2","symbiont"
"Oleria_radina","M2","symbiont"
"Oleria_tremona","M2","symbiont"
"Ollantaya_aegineta","M2","symbiont"
"Ollantaya_olerioides","M2","symbiont"
"Patricia_demylus","M2","symbiont"
"Patricia_dercyllidas","M2","symbiont"
"Pteronymia_alida","M2","symbiont"
"Pteronymia_alina","M2","symbiont"
"Pteronymia_granica","M2","symbiont"
"Pteronymia_hara","M2","symbiont"
"Pteronymia_oneida","M2","symbiont"
"Pteronymia_serrata","M2","symbiont"
"Pteronymia_ticida","M2","symbiont"
"Veladyris_electrea","M2","symbiont"
"Veladyris_pardalis","M2","symbiont"
"Velamysta_peninna","M2","symbiont"
"Velamysta_phengites","M2","symbiont"
"Velamysta_pupilla","M2","symbiont"
"C1","M3","host"
"C26","M3","host"
"C28","M3","host"
"C30","M3","host"
"C36","M3","host"
"C40","M3","host"
"Aremfoxia_ferra","M3","symbiont"
"Athesis_acrisione","M3","symbiont"
"Brevioleria_coenina","M3","symbiont"
"Callithomia_hezia","M3","symbiont"
"Dircenna_adina","M3","symbiont"
"Episcada_nsp1","M3","symbiont"
"Haenschia_sidonia","M3","symbiont"
"Hyalenna_alidella","M3","symbiont"
"Hyalyris_antea","M3","symbiont"
"Hyalyris_coeno","M3","symbiont"
"Hyalyris_mestra","M3","symbiont"
"Hyalyris_nsp2","M3","symbiont"
"Hyalyris_ocna","M3","symbiont"
"Hyalyris_praxilla","M3","symbiont"
"Hyalyris_schlingeri","M3","symbiont"
"Hypoleria_alema","M3","symbiont"
"Ithomia_adelinda","M3","symbiont"
"Napeogenes_apulia","M3","symbiont"
"Napeogenes_glycera","M3","symbiont"
"Napeogenes_gracilis","M3","symbiont"
"Napeogenes_lycora","M3","symbiont"
"Napeogenes_nsp1","M3","symbiont"
"Napeogenes_nsp2","M3","symbiont"
"Napeogenes_sulphureophila","M3","symbiont"
"Ollantaya_canilla","M3","symbiont"
"Pagyris_priscilla","M3","symbiont"
"Pteronymia_gertschi","M3","symbiont"
"Pteronymia_inania","M3","symbiont"
"Pteronymia_ozia","M3","symbiont"
"Pteronymia_tamina","M3","symbiont"
"Pteronymia_thabena","M3","symbiont"
"Veladyris_cytharista","M3","symbiont"
"C3","M4","host"
"C4","M4","host"
"C12","M4","host"
"C19","M4","host"
"C20","M4","host"
"C37","M4","host"
"C38","M4","host"
"Brevioleria_aelia","M4","symbiont"
"Brevioleria_nsp1","M4","symbiont"
"Brevioleria_plisthenes","M4","symbiont"
"Brevioleria_seba","M4","symbiont"
"Episcada_sylvo","M4","symbiont"
"Episcada_vitrea","M4","symbiont"
"Heterosais_edessa","M4","symbiont"
"Hyalenna_pascua","M4","symbiont"
"Hypoleria_adasa","M4","symbiont"
"Hypoleria_aureliana","M4","symbiont"
"Hypoleria_lavinia","M4","symbiont"
"Hypoleria_sarepta","M4","symbiont"
"Hyposcada_illinissa","M4","symbiont"
"Hyposcada_kena","M4","symbiont"
"Hyposcada_schausi","M4","symbiont"
"Hyposcada_zarepha","M4","symbiont"
"Ithomia_diasia","M4","symbiont"
"Ithomia_drymo","M4","symbiont"
"Ithomia_jucunda","M4","symbiont"
"Ithomia_leila","M4","symbiont"
"Ithomia_patilla","M4","symbiont"
"Mcclungia_cymo","M4","symbiont"
"Napeogenes_nsp3","M4","symbiont"
"Napeogenes_sylphis","M4","symbiont"
"Oleria_aegle","M4","symbiont"
"Oleria_agarista","M4","symbiont"
"Oleria_amalda","M4","symbiont"
"Oleria_antaxis","M4","symbiont"
"Oleria_aquata","M4","symbiont"
"Oleria_astrea","M4","symbiont"
"Oleria_flora","M4","symbiont"
"Oleria_gunilla","M4","symbiont"
"Oleria_ilerdina","M4","symbiont"
"Oleria_onega","M4","symbiont"
"Oleria_paula","M4","symbiont"
"Oleria_quadrata","M4","symbiont"
"Oleria_quintina","M4","symbiont"
"Oleria_rubescens","M4","symbiont"
"Oleria_sexmaculata","M4","symbiont"
"Oleria_similigena","M4","symbiont"
"Oleria_thiemei","M4","symbiont"
"Pseudoscada_acilla","M4","symbiont"
"Pseudoscada_erruca","M4","symbiont"
"Pseudoscada_florula","M4","symbiont"
"Pseudoscada_timnaCOSTARICA","M4","symbiont"
"Pseudoscada_timnaWESTERN","M4","symbiont"
"Pteronymia_carlia","M4","symbiont"
"Pteronymia_cotytto","M4","symbiont"
"Pteronymia_laura","M4","symbiont"
"Pteronymia_parva","M4","symbiont"
"C8","M5","host"
"C11","M5","host"
"C14","M5","host"
"C34","M5","host"
"C35","M5","host"
"Athesis_clearista","M5","symbiont"
"Dircenna_jemina","M5","symbiont"
"Dircenna_klugii","M5","symbiont"
"Dircenna_olyras","M5","symbiont"
"Eutresis_hypereia","M5","symbiont"
"Godyris_duillia","M5","symbiont"
"Godyris_kedema","M5","symbiont"
"Heterosais_giulia","M5","symbiont"
"Hyalyris_excelsa","M5","symbiont"
"Hypoleria_ocalea","M5","symbiont"
"Hypomenitis_alphesiboea","M5","symbiont"
"Hypothyris_lycaste","M5","symbiont"
"Ithomia_iphianassa","M5","symbiont"
"Ithomia_pseudoagalla","M5","symbiont"
"Ithomia_xenos","M5","symbiont"
"Napeogenes_benigna","M5","symbiont"
"Napeogenes_peridia","M5","symbiont"
"Napeogenes_tolosa","M5","symbiont"
"Olyras_crathis","M5","symbiont"
"Olyras_insignis","M5","symbiont"
"Pachacutia_baroni","M5","symbiont"
"Pagyris_cymothoe","M5","symbiont"
"Pteronymia_aletta","M5","symbiont"
"Pteronymia_dispar","M5","symbiont"
"Pteronymia_donella","M5","symbiont"
"Pteronymia_fulvimargo","M5","symbiont"
"Pteronymia_lonera","M5","symbiont"
"Pteronymia_obscuratus","M5","symbiont"
"Pteronymia_teresita","M5","symbiont"
"Pteronymia_veiaWEST","M5","symbiont"
"Thyridia_psidii","M5","symbiont"
"Tithorea_pacifica","M5","symbiont"
"Tithorea_tarricina","M5","symbiont"
"C16","M6","host"
"C22","M6","host"
"C23","M6","host"
"C24","M6","host"
"C29","M6","host"
"C32","M6","host"
"Athyrtis_mechanitis","M6","symbiont"
"Callithomia_alexirrhoe","M6","symbiont"
"Callithomia_lenea","M6","symbiont"
"Ceratinia_iolaia","M6","symbiont"
"Ceratinia_neso","M6","symbiont"
"Ceratinia_tutia","M6","symbiont"
"Forbestra_equicola","M6","symbiont"
"Forbestra_olivencia","M6","symbiont"
"Forbestra_proceris","M6","symbiont"
"Hyalyris_nsp1","M6","symbiont"
"Hyalyris_oulita","M6","symbiont"
"Hyposcada_anchiala","M6","symbiont"
"Hyposcada_virginiana","M6","symbiont"
"Hypothyris_anastasia","M6","symbiont"
"Hypothyris_cantobrica","M6","symbiont"
"Hypothyris_daphnis","M6","symbiont"
"Hypothyris_euclea","M6","symbiont"
"Hypothyris_fluonia","M6","symbiont"
"Hypothyris_mamercus","M6","symbiont"
"Hypothyris_ninonia","M6","symbiont"
"Hypothyris_semifulva","M6","symbiont"
"Ithomia_celemia","M6","symbiont"
"Ithomia_heraldica","M6","symbiont"
"Mechanitis_lysimnia","M6","symbiont"
"Mechanitis_macrinus","M6","symbiont"
"Mechanitis_mazaeus","M6","symbiont"
"Mechanitis_menapis","M6","symbiont"
"Mechanitis_polymnia","M6","symbiont"
"Melinaea_ethra","M6","symbiont"
"Melinaea_idae","M6","symbiont"
"Melinaea_lilis","M6","symbiont"
"Melinaea_ludovica","M6","symbiont"
"Melinaea_marsaeus","M6","symbiont"
"Melinaea_menophilus","M6","symbiont"
"Melinaea_mnasias","M6","symbiont"
"Melinaea_mneme","M6","symbiont"
"Melinaea_satevis","M6","symbiont"
"Napeogenes_aethra","M6","symbiont"
"Napeogenes_larina","M6","symbiont"
"Napeogenes_stella","M6","symbiont"
"Napeogenes_zurippa","M6","symbiont"
"Placidina_euryanassa","M6","symbiont"
"Pteronymia_latilla","M6","symbiont"
"Sais_rosalia","M6","symbiont"
"Tithorea_harmonia","M6","symbiont"
"C25","M7","host"
"Ithomia_cleora","M7","symbiont"
"Scada_zemira","M7","symbiont"
"C10","M8","host"
"C18","M8","host"
"C27","M8","host"
"C33","M8","host"
"C42","M8","host"
"C43","M8","host"
"Elzunia_humboldt","M8","symbiont"
"Elzunia_pavonii","M8","symbiont"
"Episcada_ticidella","M8","symbiont"
"Godyris_lauta","M8","symbiont"
"Hyalenna_sulmona","M8","symbiont"
"Hypomenitis_depauperata","M8","symbiont"
"Hypomenitis_ochretis","M8","symbiont"
"Hypothyris_mansuetus","M8","symbiont"
"Hypothyris_moebiusi","M8","symbiont"
"Hypothyris_nsp","M8","symbiont"
"Hypothyris_thea","M8","symbiont"
"Mechanitis_messenoides","M8","symbiont"
"Melinaea_isocomma","M8","symbiont"
"Melinaea_mothone","M8","symbiont"
"Napeogenes_duessa","M8","symbiont"
"Napeogenes_flossina","M8","symbiont"
"Patricia_oligyrtis","M8","symbiont"
"Pteronymia_nsp3","M8","symbiont"
