name,module,type
C1,C,host
C10,C,host
C11,C,host
C12,C,host
C13,C13,host
C14,C,host
C15,C,host
C16,C16,host
C17,C17,host
C18,C,host
C19,C,host
C2,C2,host
C20,C20,host
C21,C21,host
C22,C,host
C23,C,host
C24,C24,host
C25,C,host
C26,C,host
C27,C,host
C28,C,host
C29,C,host
C3,C,host
C30,C,host
C31,C31,host
C32,C,host
C33,C,host
C34,C,host
C35,C,host
C36,C,host
C37,C,host
C38,C,host
C39,C,host
C4,C,host
C40,C,host
C41,C,host
C42,C,host
C43,C,host
C44,C,host
C5,C5,host
C6,C6,host
C7,C,host
C8,C8,host
C9,C,host
Aeria_eurimedia,C,symbiont
Aeria_olena,C,symbiont
Aremfoxia_ferra,C,symbiont
Athesis_acrisione,C,symbiont
Athesis_clearista,C,symbiont
Athyrtis_mechanitis,C,symbiont
Brevioleria_aelia,C,symbiont
Brevioleria_arzalia,C,symbiont
Brevioleria_coenina,C,symbiont
Brevioleria_nsp1,C,symbiont
Brevioleria_plisthenes,C,symbiont
Brevioleria_seba,C,symbiont
Callithomia_alexirrhoe,C,symbiont
Callithomia_hezia,C,symbiont
Callithomia_lenea,C,symbiont
Ceratinia_iolaia,C,symbiont
Ceratinia_neso,C,symbiont
Ceratinia_tutia,C,symbiont
Dircenna_adina,C,symbiont
Dircenna_dero,C,symbiont
Dircenna_jemina,C,symbiont
Dircenna_klugii,C,symbiont
Dircenna_loreta,C,symbiont
Dircenna_olyras,C,symbiont
Elzunia_humboldt,C,symbiont
Elzunia_pavonii,C,symbiont
Episcada_apuleia,C,symbiont
Episcada_clausina,C,symbiont
Episcada_doto,C,symbiont
Episcada_hemixanthe,C,symbiont
Episcada_hymen,C,symbiont
Episcada_hymenaea,C,symbiont
Episcada_mira,C,symbiont
Episcada_nsp1,C,symbiont
Episcada_nsp2,C,symbiont
Episcada_philoclea,C,symbiont
Episcada_polita,C,symbiont
Episcada_salvinia,C,symbiont
Episcada_striposis,C,symbiont
Episcada_sulphurea,C,symbiont
Episcada_sylvo,C,symbiont
Episcada_ticidella,C,symbiont
Episcada_trapezula,C,symbiont
Episcada_vitrea,C,symbiont
Epityches_eupompe,C,symbiont
Eutresis_hypereia,C,symbiont
Forbestra_equicola,C,symbiont
Forbestra_olivencia,C,symbiont
Forbestra_proceris,C,symbiont
Genus1_nsp1,C,symbiont
Genus2_andromica,C,symbiont
Genus2_annette,C,symbiont
Godyris_crinippa,C,symbiont
Godyris_dircenna,C,symbiont
Godyris_duillia,C,symbiont
Godyris_hewitsoni,C,symbiont
Godyris_kedema,C,symbiont
Godyris_lauta,C,symbiont
Godyris_nero,C,symbiont
Godyris_panthyale,C,symbiont
Godyris_sappho,C,symbiont
Godyris_zavaleta,C,symbiont
Greta_clavijoi,C,symbiont
Greta_diaphanus,C,symbiont
Greta_morgane,C,symbiont
Haenschia_derama,C,symbiont
Haenschia_sidonia,C,symbiont
Heterosais_edessa,C,symbiont
Heterosais_giulia,C,symbiont
Heterosais_nephele,C,symbiont
Hyalenna_alidella,C,symbiont
Hyalenna_buckleyi,C,symbiont
Hyalenna_paradoxa,C,symbiont
Hyalenna_pascua,C,symbiont
Hyalenna_perasippa,C,symbiont
Hyalenna_sulmona,C,symbiont
Hyalyris_antea,C,symbiont
Hyalyris_coeno,C,symbiont
Hyalyris_excelsa,C,symbiont
Hyalyris_juninensis,C,symbiont
Hyalyris_latilimbata,C,symbiont
Hyalyris_mestra,C,symbiont
Hyalyris_nsp1,C,symbiont
Hyalyris_nsp2,C,symbiont
Hyalyris_ocna,C,symbiont
Hyalyris_oulita,C,symbiont
Hyalyris_praxilla,C,symbiont
Hyalyris_schlingeri,C,symbiont
Hypoleria_adasa,C,symbiont
Hypoleria_alema,C,symbiont
Hypoleria_aureliana,C,symbiont
Hypoleria_lavinia,C,symbiont
Hypoleria_ocalea,C,symbiont
Hypoleria_sarepta,C,symbiont
Hypoleria_xenophis,C,symbiont
Hypomenitis_alphesiboea,C,symbiont
Hypomenitis_depauperata,C,symbiont
Hypomenitis_dercetis,C,symbiont
Hypomenitis_enigma,C,symbiont
Hypomenitis_esula,C,symbiont
Hypomenitis_gardneri,C,symbiont
Hypomenitis_hermana,C,symbiont
Hypomenitis_libethris,C,symbiont
Hypomenitis_lojana,C,symbiont
Hypomenitis_lydia,C,symbiont
Hypomenitis_nspA,C,symbiont
Hypomenitis_nspB,C,symbiont
Hypomenitis_nspC,C,symbiont
Hypomenitis_nspD,C,symbiont
Hypomenitis_nspE,C,symbiont
Hypomenitis_ochretis,C,symbiont
Hypomenitis_oneidodes,C,symbiont
Hypomenitis_ortygia,C,symbiont
Hypomenitis_polissena,C,symbiont
Hypomenitis_theudelinda,C,symbiont
Hyposcada_anchiala,C,symbiont
Hyposcada_dujardini,C,symbiont
Hyposcada_illinissa,C,symbiont
Hyposcada_kena,C,symbiont
Hyposcada_schausi,C,symbiont
Hyposcada_taliata,C,symbiont
Hyposcada_virginiana,C,symbiont
Hyposcada_zarepha,C,symbiont
Hypothyris_anastasia,C,symbiont
Hypothyris_cantobrica,C,symbiont
Hypothyris_daphnis,C,symbiont
Hypothyris_euclea,C,symbiont
Hypothyris_fluonia,C,symbiont
Hypothyris_lycaste,C,symbiont
Hypothyris_mamercus,C,symbiont
Hypothyris_mansuetus,C,symbiont
Hypothyris_moebiusi,C,symbiont
Hypothyris_ninonia,C,symbiont
Hypothyris_nsp,C,symbiont
Hypothyris_semifulva,C,symbiont
Hypothyris_thea,C,symbiont
Ithomia_adelinda,C,symbiont
Ithomia_agnosia,C,symbiont
Ithomia_amarilla,C,symbiont
Ithomia_arduinna,C,symbiont
Ithomia_avella,C,symbiont
Ithomia_celemia,C,symbiont
Ithomia_cleora,C,symbiont
Ithomia_diasia,C,symbiont
Ithomia_drymo,C,symbiont
Ithomia_eleonora,C,symbiont
