Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-20707.51	-20706.81	-0.6974149	0.3	0	0	0.09090909	0.9090909	1e-06	0.0909091	1e-06	1e-06	0.909091	1e-06	0.0909091	0.909091
50	-9838.258	-9837.541	-0.7171011	0.3019686	0	0	0.04068003	0.95932	1e-06	0.04068	1e-06	1e-06	0.95932	1e-06	0.04068	0.95932
100	-8002.521	-8002.389	-0.1319671	0.2434552	0	0	0.04186171	0.9581383	1e-06	0.0418617	1e-06	1e-06	0.958138	1e-06	0.0418617	0.958138
150	-7221.043	-7221.1	0.05724797	0.2245337	0	0	0.04654353	0.9534565	1e-06	0.0465435	1e-06	1e-06	0.953456	1e-06	0.0465435	0.953456
200	-6914.844	-6915.013	0.1685322	0.2134053	0	0	0.04477109	0.9552289	1e-06	0.0447711	1e-06	1e-06	0.955229	1e-06	0.0447711	0.955229
250	-6417.487	-6417.744	0.2572992	0.2045286	0	0	0.04100697	0.958993	1e-06	0.041007	1e-06	1e-06	0.958993	1e-06	0.041007	0.958993
300	-6812.535	-6812.653	0.1185689	0.2184016	0	0	0.04030495	0.959695	1e-06	0.040305	1e-06	1e-06	0.959695	1e-06	0.040305	0.959695
350	-6339.498	-6339.698	0.1995337	0.2103051	0	0	0.04113258	0.9588674	1e-06	0.0411326	1e-06	1e-06	0.958867	1e-06	0.0411326	0.958867
400	-6327.048	-6327.208	0.1600544	0.2142531	0	0	0.04193749	0.9580625	1e-06	0.0419375	1e-06	1e-06	0.958063	1e-06	0.0419375	0.958063
450	-6379.438	-6379.461	0.0227909	0.2279794	0	0	0.03919815	0.9608018	1e-06	0.0391982	1e-06	1e-06	0.960802	1e-06	0.0391982	0.960802
500	-6297.679	-6297.834	0.1547499	0.2147835	0	0	0.04227014	0.9577299	1e-06	0.0422701	1e-06	1e-06	0.95773	1e-06	0.0422701	0.95773
